City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
325,Ribeira Grande,PT,63.0,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
326,Ulladulla,AU,64.09,overcast clouds,-35.35,150.4667,Sandpiper Motel
329,Uyuni,BO,61.77,clear sky,-20.4597,-66.825,Hostal La Magia de Uyuni
334,Hualmay,PE,75.94,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
337,Neiafu,TO,79.48,overcast clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
338,Miami Beach,US,83.01,broken clouds,25.7906,-80.1301,Albion Hotel
339,Luz,BR,82.08,scattered clouds,-19.8014,-45.6856,Hotel Turista
340,Mahajanga,MG,82.42,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
342,Clarence Town,AU,70.86,overcast clouds,-32.5833,151.7833,River Downs Cottage
343,Quelimane,MZ,80.55,scattered clouds,-17.8786,36.8883,Hotel Flamingo
344,Villa Carlos Paz,AR,69.04,overcast clouds,-31.4241,-64.4978,Monte Carlo vcp
346,Kapit,MY,73.22,moderate rain,2.0167,112.9333,Hotel Meligai Kapit
348,Yantzaza,EC,86.0,light rain,-3.8278,-78.7594,HOTEL ALEJANDRO YANTZAZA
349,Kigorobya,UG,75.58,overcast clouds,1.6162,31.3089,Palace guest house kigorobya
351,Los Llanos De Aridane,ES,65.12,clear sky,28.6585,-17.9182,Valle Aridane
353,Salinopolis,BR,79.72,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
356,Honiara,SB,78.96,broken clouds,-9.4333,159.95,Heritage Park Hotel
358,Vao,NC,79.84,light rain,-22.6667,167.4833,Hotel Kou-Bugny
359,Makasar,ID,77.05,scattered clouds,-5.14,119.4221,Hotel Horison Ultima Makassar
360,Batticaloa,LK,76.57,scattered clouds,7.7102,81.6924,Grand Star Guest House
365,San Juan,AR,69.62,overcast clouds,-31.5375,-68.5364,Hotel Provincial
367,Luanda,AO,80.6,few clouds,-8.8368,13.2343,Hotel Fórum
368,Pedasi,PA,82.42,overcast clouds,7.5333,-80.0333,Selina Pedasi
370,Viedma,AR,63.45,overcast clouds,-40.8135,-62.9967,Hotel Cristal
373,Laguna,US,62.44,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
374,Inhambane,MZ,80.58,scattered clouds,-23.865,35.3833,Oceano
