City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
487,Keti Bandar,PK,70.72,clear sky,24.1447,67.4497,Haji laloo memon house
489,Moussoro,TD,68.43,clear sky,13.6408,16.4901,Hôtel Salama
492,Vanimo,PG,77.67,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
493,Kahama,TZ,63.66,overcast clouds,-3.8333,32.6,Kahama Gold Hotel
496,Richards Bay,ZA,72.93,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
498,Luganville,VU,78.75,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
499,Tual,ID,82.99,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
502,Yenagoa,NG,82.45,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
503,Ambatofinandrahana,MG,61.45,moderate rain,-20.55,46.8,TATAMO
505,Sur,OM,72.73,clear sky,22.5667,59.5289,Sur Plaza Hotel
506,Cockburn Town,TC,76.3,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
507,Praia Da Vitoria,PT,61.75,broken clouds,38.7333,-27.0667,Hotel Branco I
508,Kitui,KE,69.24,overcast clouds,-1.367,38.0106,Heritage Bliss Hotel
512,Ponta Delgada,PT,64.51,few clouds,37.7333,-25.6667,Vila Nova Hotel
514,Alice Springs,AU,60.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
516,Kontagora,NG,81.12,clear sky,10.3999,5.4695,Queens Guest Inn
518,Byron Bay,AU,66.15,broken clouds,-28.65,153.6167,Backpackers Inn
522,Taltal,CL,71.53,few clouds,-25.4,-70.4833,Residencial Karime
524,The Valley,AI,82.26,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
525,Natal,BR,88.45,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
527,Grand Gaube,MU,80.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
528,Albufeira,PT,64.24,clear sky,37.0882,-8.2503,Grande Real Santa Eulalia Resort & Hotel Spa
529,Caravelas,BR,78.13,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
532,Nuevitas,CU,85.44,clear sky,21.5453,-77.2644,Hotel Caonaba
534,Trincomalee,LK,78.75,scattered clouds,8.5711,81.2335,Welcombe Hotel
535,Mosquera,CO,64.49,broken clouds,4.7059,-74.2302,Hotel SJ
536,Hobyo,SO,76.23,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
538,Calvinia,ZA,83.26,clear sky,-31.4707,19.776,Die Lemoenhuis
542,Ihosy,MG,69.96,moderate rain,-22.4,46.1167,Hotely Sariaka
543,Pacific Grove,US,64.81,clear sky,36.6177,-121.9166,Lovers Point Inn
544,Doha,QA,66.18,clear sky,25.2867,51.5333,Movenpick Hotel Doha
549,Souillac,MU,80.37,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
553,Moron,AR,73.96,broken clouds,-34.6534,-58.6198,Hotel Morón
554,Chipinge,ZW,64.35,light rain,-20.1883,32.6236,Chipinge Breeze Lodge
556,Puerto Narino,CO,82.35,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
558,Pochutla,MX,86.83,clear sky,15.7432,-96.4661,Hotel Posada San Jose
562,Kailua,US,71.65,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
565,Maputo,MZ,78.48,scattered clouds,-25.9653,32.5892,Pestana Rovuma
568,Boyolangu,ID,75.07,scattered clouds,-8.1181,111.8935,Yos ega cv
569,Coruripe,BR,83.52,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
570,Valparaiso,CL,69.48,clear sky,-33.0393,-71.6273,Hotel Ultramar
572,Prainha,BR,82.29,overcast clouds,-1.8,-53.48,Casa Rocha
574,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
575,Berbera,SO,76.46,overcast clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
579,Bocas Del Toro,PA,88.07,clear sky,9.3333,-82.25,Hotel Bocas del Toro
582,Riachao Das Neves,BR,81.93,overcast clouds,-11.7461,-44.91,Casa Costa
590,Cururupu,BR,81.77,light rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
594,Rockhampton,AU,73.29,overcast clouds,-23.3833,150.5,Mercure Rockhampton
597,Port Hedland,AU,84.25,scattered clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
598,Bombay,IN,73.38,smoke,19.0144,72.8479,Hotel Avon Ruby-Dadar
601,Neuquen,AR,75.09,scattered clouds,-38.9516,-68.0591,Hotel del Comahue
602,Grand-Santi,GF,79.92,scattered clouds,4.25,-54.3833,Hotel La Villa Couacou
605,Piacabucu,BR,83.16,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
608,Puerto Colombia,CO,87.89,clear sky,10.9878,-74.9547,Hotel El Emigrante
609,Inirida,CO,84.36,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
610,Saint-Georges,GD,83.88,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
611,Guayaramerin,BO,89.65,scattered clouds,-10.8368,-65.3614,Hostal Funf
613,Saint-Leu,RE,81.46,moderate rain,-21.15,55.2833,La Caz Oceane
615,Pangkalanbuun,ID,73.92,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
616,Ribeira Brava,PT,71.13,clear sky,32.65,-17.0667,Hotel do Campo
617,Mount Isa,AU,74.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
618,Tatawin,TN,65.28,broken clouds,32.9297,10.4518,Sangho Privilege Tataouine
623,Ixtapa,MX,76.23,broken clouds,20.7,-105.2,Hotel Plaza Providencia
624,Banikoara,BJ,79.41,clear sky,11.2985,2.4386,Hôtel de l'UCom CVPC
625,Yulara,AU,67.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
626,Danane,CI,81.57,clear sky,7.2596,-8.155,Lmd
631,Tandil,AR,61.99,overcast clouds,-37.3217,-59.1332,Hostal de la Sierra Tandil
635,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
636,Santa Rosa,PH,78.78,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
637,Ahuimanu,US,77.45,broken clouds,21.4447,-157.8378,Paradise Bay Resort
641,Sungaipenuh,ID,64.35,overcast clouds,-2.0833,101.3833,penginapan citra alam
644,Farafangana,MG,77.5,heavy intensity rain,-22.8167,47.8333,Miarina
648,Kalianget,ID,78.8,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
651,Ambon,ID,77.14,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
652,Warrnambool,AU,60.82,overcast clouds,-38.3833,142.4833,Lady Bay Resort
653,Bol,TD,71.4,clear sky,13.4586,14.7147,Hotel 3 Etoiles
654,Otane,NZ,61.02,overcast clouds,-39.8833,176.6333,Ludlow Farmstay
663,Aloleng,PH,76.37,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
