City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
161,Vila Velha,BR,2022-01-27 03:36:48,-20.3297,-40.2925,74.95,84,0,2.3
162,Sri Aman,MY,2022-01-27 03:40:10,1.2376,111.4621,82.45,83,40,0.0
163,Bengkulu,ID,2022-01-27 03:40:11,-3.8004,102.2655,82.04,75,100,2.84
164,Lagoa,PT,2022-01-27 03:39:26,39.05,-27.9833,58.8,80,38,11.05
165,San Patricio,US,2022-01-27 03:38:47,28.017,-97.5169,55.38,77,88,9.89
166,Kandrian,PG,2022-01-27 03:40:12,-6.2167,149.55,89.37,61,100,8.25
167,Namibe,AO,2022-01-27 03:40:12,-15.1961,12.1522,75.6,83,100,3.2
168,Port Lincoln,AU,2022-01-27 03:40:13,-34.7333,135.8667,77.54,62,5,8.12
169,Marsh Harbour,BS,2022-01-27 03:40:13,26.5412,-77.0636,73.54,78,34,10.98
170,Labuhan,ID,2022-01-27 03:40:14,-6.8844,112.2051,84.69,72,100,12.64
171,Norman Wells,CA,2022-01-27 03:40:14,65.282,-126.8329,8.64,85,75,2.3
172,Kautokeino,NO,2022-01-27 03:40:14,69.0125,23.0412,3.36,98,100,1.7
173,Vanimo,PG,2022-01-27 03:37:04,-2.6741,141.3028,82.85,80,89,1.77
174,Vestmannaeyjar,IS,2022-01-27 03:40:15,63.4427,-20.2734,37.0,63,74,0.65
175,Pevek,RU,2022-01-27 03:40:16,69.7008,170.3133,-31.86,98,31,1.92
176,Jacareacanga,BR,2022-01-27 03:40:16,-6.2222,-57.7528,73.18,93,100,0.72
177,Baykit,RU,2022-01-27 03:40:16,61.67,96.37,-13.45,100,64,1.01
178,Javanrud,IR,2022-01-27 03:40:17,34.7961,46.5172,40.64,86,92,9.44
179,Wanning,CN,2022-01-27 03:40:17,18.8003,110.3967,76.03,78,53,8.32
180,Humaita,BR,2022-01-27 03:40:18,-7.5061,-63.0208,73.17,94,100,2.39
181,Sringeri,IN,2022-01-27 03:40:18,13.4167,75.25,68.9,52,3,3.69
182,San Quintin,MX,2022-01-27 03:40:18,30.4833,-115.95,57.72,70,95,7.02
183,Port Elizabeth,ZA,2022-01-27 03:40:19,-33.918,25.5701,66.49,94,100,8.05
184,Kargopol,RU,2022-01-27 03:40:19,61.5071,38.9456,9.23,95,100,6.15
185,Mandan,US,2022-01-27 03:40:20,46.8267,-100.8896,32.04,79,75,16.11
186,Jamestown,US,2022-01-27 03:38:08,42.097,-79.2353,8.19,85,0,6.91
187,Saint-Pierre,RE,2022-01-27 03:36:05,-21.3393,55.4781,73.18,56,15,9.22
188,Grindavik,IS,2022-01-27 03:40:20,63.8424,-22.4338,30.67,93,0,10.36
189,La Ronge,CA,2022-01-27 03:40:21,55.1001,-105.2842,5.22,72,20,6.91
190,Krasnoselkup,RU,2022-01-27 03:37:07,65.7,82.4667,-3.69,97,100,17.52
191,Ilulissat,GL,2022-01-27 03:40:22,69.2167,-51.1,12.22,57,100,23.02
192,Fontem,CM,2022-01-27 03:40:22,5.4685,9.8818,64.67,56,7,2.98
193,Salalah,OM,2022-01-27 03:38:51,17.0151,54.0924,66.29,72,20,3.44
194,Umm Kaddadah,SD,2022-01-27 03:40:23,13.6017,26.6876,53.64,27,73,22.35
195,Katobu,ID,2022-01-27 03:40:23,-4.9408,122.5276,89.58,54,100,5.64
196,Waddan,LY,2022-01-27 03:40:24,29.1614,16.139,40.82,70,5,2.44
197,Flin Flon,CA,2022-01-27 03:37:56,54.7682,-101.865,-6.43,84,21,11.43
198,Plouzane,FR,2022-01-27 03:40:25,48.3833,-4.6167,37.58,93,75,8.05
199,Tacuarembo,UY,2022-01-27 03:40:25,-31.7333,-55.9833,70.47,90,97,13.71
200,Leeton,AU,2022-01-27 03:40:25,-34.5667,146.4,89.89,45,40,12.66
201,Narsaq,GL,2022-01-27 03:40:26,60.9167,-46.05,23.22,69,99,17.65
202,Tabas,IR,2022-01-27 03:40:26,33.5959,56.9244,48.85,36,7,5.3
203,Buala,SB,2022-01-27 03:40:27,-8.145,159.5921,82.76,75,100,6.6
204,Kargil,IN,2022-01-27 03:36:14,34.5667,76.1,-9.99,95,99,0.81
205,Isla Mujeres,MX,2022-01-27 03:35:31,21.2311,-86.731,73.45,86,5,7.78
206,Santa Maria,BR,2022-01-27 03:40:28,-29.6842,-53.8069,76.3,94,0,3.44
207,Rawson,AR,2022-01-27 03:37:22,-43.3002,-65.1023,61.23,58,0,10.07
208,Tuatapere,NZ,2022-01-27 03:40:28,-46.1333,167.6833,57.81,50,26,7.94
209,Arlit,NE,2022-01-27 03:40:29,18.7369,7.3853,55.35,29,12,7.23
210,Weligama,LK,2022-01-27 03:40:29,5.9667,80.4167,79.65,68,100,3.36
211,Lakselv,NO,2022-01-27 03:40:30,70.0513,24.9718,17.42,73,75,18.41
212,Severo-Kurilsk,RU,2022-01-27 03:35:49,50.6789,156.125,25.83,67,88,28.79
213,Fairbanks,US,2022-01-27 03:38:11,64.8378,-147.7164,-7.64,77,0,0.0
214,Makakilo City,US,2022-01-27 03:40:31,21.3469,-158.0858,77.32,56,0,9.22
215,Villa Carlos Paz,AR,2022-01-27 03:40:31,-31.4241,-64.4978,70.25,98,100,7.43
216,Camacha,PT,2022-01-27 03:40:31,33.0833,-16.3333,55.53,72,75,9.22
217,Mitsamiouli,KM,2022-01-27 03:40:32,-11.3847,43.2844,79.09,78,75,8.05
218,Pontal,BR,2022-01-27 03:38:59,-21.0225,-48.0372,73.67,96,47,3.69
219,Cherskiy,RU,2022-01-27 03:40:33,68.75,161.3,-43.33,99,36,3.96
220,Concordia,AR,2022-01-27 03:40:33,-31.393,-58.0209,74.79,86,52,8.99
221,Naze,JP,2022-01-27 03:40:34,28.3667,129.4833,65.32,73,92,4.09
222,Nizwa,OM,2022-01-27 03:40:34,22.9333,57.5333,64.47,44,0,1.12
223,Todos Santos,MX,2022-01-27 03:40:35,23.45,-110.2167,70.66,53,2,3.85
224,Tiksi,RU,2022-01-27 03:40:35,71.6872,128.8694,-0.15,87,64,15.46
225,Ust-Maya,RU,2022-01-27 03:40:35,60.4167,134.5333,-19.66,92,93,2.64
226,Kavaratti,IN,2022-01-27 03:40:36,10.5669,72.642,77.58,66,91,10.92
227,Jalu,LY,2022-01-27 03:40:36,29.0331,21.5482,49.96,65,81,6.89
