City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
126,Chapais,CA,49.7834,-74.8492,-2.42,73,76,10.76,broken clouds
127,Pangnirtung,CA,66.1451,-65.7125,-23.8,69,40,0.0,scattered clouds
128,Kumluca,TR,36.3703,30.2869,45.68,64,0,6.35,clear sky
129,Agua Verde,MX,22.9,-106.05,77.09,51,24,5.75,few clouds
130,Babu,CN,24.4167,111.5167,45.73,86,96,3.2,overcast clouds
131,Provideniya,RU,64.3833,-173.3,-6.12,86,2,10.87,clear sky
132,Ternate,ID,0.8,127.4,79.9,82,100,9.37,overcast clouds
133,Birjand,IR,32.8663,59.2211,39.67,87,75,0.0,broken clouds
134,Tarecuato,MX,19.85,-102.4833,64.65,20,3,5.17,clear sky
135,Nhulunbuy,AU,-12.2333,136.7667,77.61,88,100,0.0,light rain
136,Vikulovo,RU,56.8167,70.6107,15.76,84,100,8.05,overcast clouds
137,Mar Del Plata,AR,-38.0023,-57.5575,64.42,97,100,5.99,moderate rain
138,Yuanli,TW,24.4397,120.6535,62.24,87,75,5.75,broken clouds
139,Castro,BR,-24.7911,-50.0119,75.16,81,36,8.75,light rain
140,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,79.65,78,99,10.67,overcast clouds
141,Kerema,PG,-7.9631,145.7785,77.04,86,100,8.34,overcast clouds
142,Codrington,AU,-38.2667,141.9667,56.17,88,85,8.59,overcast clouds
143,Alofi,NU,-19.0595,-169.9187,75.09,100,100,3.44,overcast clouds
144,Taoudenni,ML,22.6783,-3.9836,73.38,9,94,8.77,overcast clouds
145,Namatanai,PG,-3.6667,152.4333,79.99,78,75,9.51,broken clouds
146,Faanui,PF,-16.4833,-151.75,81.09,72,12,18.68,few clouds
147,Nanortalik,GL,60.1432,-45.2371,11.75,62,49,20.42,scattered clouds
148,Seguela,CI,7.9611,-6.6731,83.48,16,15,2.01,few clouds
149,Klaksvik,FO,62.2266,-6.589,36.52,76,61,30.06,broken clouds
150,Willmar,US,45.1219,-95.0433,17.2,73,100,19.57,overcast clouds
151,Kodiak,US,57.79,-152.4072,31.51,86,75,5.75,broken clouds
152,Ostrovnoy,RU,68.0531,39.5131,16.25,82,100,31.25,overcast clouds
153,Thompson,CA,55.7435,-97.8558,-18.24,69,75,3.44,broken clouds
154,Marawi,PH,7.9986,124.2928,66.65,91,18,1.97,few clouds
155,Fortuna,US,40.5982,-124.1573,55.92,78,0,3.0,clear sky
156,Fairbanks,US,64.8378,-147.7164,2.61,79,100,0.0,overcast clouds
157,Dunedin,NZ,-45.8742,170.5036,52.81,79,39,6.42,scattered clouds
158,Raudeberg,NO,61.9875,5.1352,39.87,93,100,5.01,overcast clouds
159,Sitka,US,57.0531,-135.33,42.69,81,100,13.8,moderate rain
160,Lusambo,CD,-4.9667,23.45,72.34,85,70,2.26,broken clouds
161,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.09,81,38,25.84,scattered clouds
162,Cidreira,BR,-30.1811,-50.2056,73.99,94,100,8.93,overcast clouds
163,Hambantota,LK,6.1241,81.1185,77.34,94,14,6.91,few clouds
164,Kodinsk,RU,58.6881,99.1844,19.29,94,100,10.33,light snow
165,College,US,64.8569,-147.8028,2.59,79,75,4.61,broken clouds
166,Noyabrsk,RU,63.1994,75.4507,-6.14,99,100,1.07,overcast clouds
167,Katsuura,JP,35.1333,140.3,33.91,50,8,7.14,clear sky
168,Carnarvon,AU,-24.8667,113.6333,80.67,83,0,10.36,clear sky
169,Khudumelapye,BW,-23.8833,24.75,74.16,58,100,8.55,overcast clouds
170,Bathsheba,BB,13.2167,-59.5167,83.01,57,20,16.11,few clouds
171,Nikolayevsk-Na-Amure,RU,53.1406,140.73,-1.16,99,100,5.35,overcast clouds
172,Borogontsy,RU,62.6683,131.1683,-39.64,100,92,1.59,overcast clouds
173,Bengkulu,ID,-3.8004,102.2655,74.25,96,100,9.01,moderate rain
174,Longyearbyen,SJ,78.2186,15.6401,10.24,61,20,23.02,few clouds
175,Ketchikan,US,55.3422,-131.6461,43.27,93,100,16.11,moderate rain
176,Esperance,AU,-33.8667,121.9,66.04,70,5,17.47,clear sky
177,Menongue,AO,-14.6585,17.691,60.13,97,100,4.23,overcast clouds
178,Rizhao,CN,35.4275,119.4553,27.81,31,14,4.72,few clouds
179,Trelew,AR,-43.249,-65.3051,68.31,34,0,12.93,clear sky
180,Santa Isabel,BR,-23.3156,-46.2214,89.17,84,100,8.84,overcast clouds
181,Konskie,PL,51.1917,20.4061,35.24,77,17,12.95,few clouds
182,Jiuquan,CN,39.7432,98.5174,16.39,40,100,5.61,overcast clouds
183,Sira,IN,13.7453,76.9092,71.87,52,32,7.74,scattered clouds
184,Haikou,CN,20.0458,110.3417,62.73,88,75,8.95,broken clouds
185,Airai,TL,-8.9266,125.4092,60.91,92,100,2.01,overcast clouds
186,Kangaatsiaq,GL,68.3065,-53.4641,-8.19,90,57,8.21,broken clouds
187,Abu Samrah,SY,35.3029,37.1841,44.56,80,0,7.38,clear sky
188,Camacha,PT,33.0833,-16.3333,64.53,77,20,19.57,few clouds
189,Glyadyanskoye,RU,54.9075,65.0883,12.09,87,100,6.55,overcast clouds
190,Fare,PF,-16.7,-151.0167,81.21,72,6,19.42,clear sky
191,Norman Wells,CA,65.282,-126.8329,-7.58,91,99,6.85,overcast clouds
192,Big Spring,US,32.2504,-101.4787,46.27,34,0,8.99,clear sky
193,Najran,SA,17.4924,44.1277,70.45,53,0,6.24,clear sky
194,Yagoua,CM,10.3411,15.2329,76.84,16,100,7.16,overcast clouds
195,Roald,NO,62.5833,6.1333,39.33,87,75,17.27,light rain
196,Lerwick,GB,60.1545,-1.1494,41.0,62,92,37.29,overcast clouds
197,Sisimiut,GL,66.9395,-53.6735,2.17,91,100,9.44,light snow
198,Barrow,US,71.2906,-156.7887,-12.98,70,75,12.66,broken clouds
199,Jalu,LY,29.0331,21.5482,57.29,47,0,2.82,clear sky
200,Lavrentiya,RU,65.5833,-171.0,-17.64,93,18,9.48,few clouds
201,Port-Cartier,CA,50.0334,-66.8654,9.75,66,34,7.63,scattered clouds
202,Kahului,US,20.8947,-156.47,77.85,80,20,0.0,few clouds
203,Poum,NC,-20.2333,164.0167,80.78,72,100,3.04,overcast clouds
204,Karpogory,RU,64.0019,44.4451,3.54,95,52,7.47,broken clouds
205,Jumla,NP,29.2747,82.1838,25.56,70,2,5.77,clear sky
206,Axim,GH,4.8699,-2.2405,80.62,81,3,10.76,clear sky
207,Nikki,BJ,9.9401,3.2108,80.65,14,1,5.21,clear sky
208,Puerto Ayora,EC,-0.7393,-90.3518,84.16,85,86,3.0,overcast clouds
209,Oistins,BB,13.0667,-59.5333,82.49,57,20,16.11,few clouds
210,Sharjah,AE,25.3573,55.4033,74.25,49,0,4.61,clear sky
211,San Pedro,PH,14.35,121.0167,78.03,71,75,8.05,broken clouds
212,Terney,RU,45.0503,136.6092,2.53,80,69,13.51,broken clouds
213,Fuling,CN,29.7022,107.3919,45.05,71,100,1.81,overcast clouds
214,Bosaso,SO,11.2842,49.1816,74.05,67,30,1.92,scattered clouds
215,Lagoa,PT,39.05,-27.9833,59.0,76,49,18.14,scattered clouds
216,Aranos,NA,-24.1333,19.1167,83.46,27,63,14.0,broken clouds
217,Vardo,NO,70.3705,31.1107,26.62,78,100,26.44,overcast clouds
218,Alyangula,AU,-13.8483,136.4192,78.67,100,100,4.61,overcast clouds
219,Ibiruba,BR,-28.6275,-53.0897,75.76,82,100,6.46,overcast clouds
220,Shache,CN,38.4167,77.2406,24.98,58,99,4.32,overcast clouds
221,Anahuac,MX,27.2333,-100.15,44.1,28,0,3.53,clear sky
222,Boralday,KZ,43.3578,76.8594,22.86,86,20,4.47,mist
223,East London,ZA,-33.0153,27.9116,67.14,94,20,5.75,light intensity drizzle
224,Kipini,KE,-2.5257,40.5262,79.09,87,100,9.19,overcast clouds
225,Belyy Yar,RU,53.6039,91.3903,-13.11,77,54,2.24,fog
226,Sechura,PE,-5.5569,-80.8222,83.48,53,20,14.2,few clouds
227,Port Alfred,ZA,-33.5906,26.891,70.34,84,99,25.26,light rain
228,Padang,ID,-0.9492,100.3543,74.16,97,100,1.7,light rain
229,Zhigansk,RU,66.7697,123.3711,-30.14,100,100,5.79,overcast clouds
230,Quatre Cocos,MU,-20.2078,57.7625,80.1,84,100,18.23,light rain
231,Great Bend,US,38.3645,-98.7648,50.05,39,0,21.85,clear sky
232,Tuktoyaktuk,CA,69.4541,-133.0374,-32.8,68,20,11.5,few clouds
233,Portland,US,45.5234,-122.6762,48.88,88,75,1.01,broken clouds
234,Sucua,EC,-2.4667,-78.1667,84.94,51,75,3.44,thunderstorm
235,Isiro,CD,2.7739,27.616,71.78,32,100,3.4,overcast clouds
236,Port Keats,AU,-14.25,129.55,76.53,88,100,2.89,overcast clouds
237,Tocopilla,CL,-22.092,-70.1979,73.13,66,19,9.44,few clouds
238,Novokayakent,RU,42.3937,47.9861,37.45,57,100,10.98,overcast clouds
239,Bethel,US,41.3712,-73.414,27.77,69,75,1.99,broken clouds
240,Lorengau,PG,-2.0226,147.2712,80.64,77,64,7.56,broken clouds
241,Tchibanga,GA,-2.85,11.0333,72.16,96,73,3.02,light rain
242,Spearfish,US,44.4908,-103.8594,48.02,36,75,7.0,broken clouds
243,Hofn,IS,64.2539,-15.2082,28.76,55,100,9.98,overcast clouds
244,Yangambi,CD,0.8102,24.4336,74.64,70,99,1.99,overcast clouds
245,Podosinovets,RU,60.2776,47.0659,7.84,96,82,5.84,broken clouds
246,Zhezkazgan,KZ,47.8043,67.7144,14.13,80,100,16.51,overcast clouds
247,Prince Rupert,CA,54.3161,-130.3201,44.29,70,0,14.97,clear sky
248,Yakovlevka,RU,44.425,133.4772,-2.58,98,100,2.48,overcast clouds
249,Fort-Shevchenko,KZ,44.5086,50.263,35.38,71,98,23.4,overcast clouds
